college_id,college_name,status,home_university
5322,Jamia Institute Of Engineering And Management Studies Akkalkuwa,Un-Aided Religious Minority - Muslim,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5330,Pune Vidyarthi Griha S College Of Engineering Shrikrushna S. Dhamankar Institute Of Management Nashik,Un-Aided,Savitribai Phule Pune University
5331,Sandip Foundation S Sandip Institute Of Engineering Management Nashik,Un-Aided,Savitribai Phule Pune University
5365,Vardhaman Education Welfare Society Ahinsa Institute Of Technology Post. Dondaicha Dhule,Un-Aided Religious Minority - Jain,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5370,Kedareshwar Gramin Vikas Pratishthan Samajbhushan Eknathrao Dhakane College Of Engineering Shevgaon,Un-Aided,Savitribai Phule Pune University
5380,Adsul S Technical Campus Chas Dist. Ahmednagar,Un-Aided,Savitribai Phule Pune University
5381,Shri. Jaykumar Rawal Institute Of Technology Dondaicha.,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5382,Ahmednagar Jilha Maratha Vidya Prasarak Samajache Shri. Chhatrapati Shivaji Maharaj College Of Engineering Nepti,Un-Aided,Savitribai Phule Pune University
5390,K.V.N. Naik S. P. Sansth S Loknete Gopinathji Munde Institute Of Engineering Education Research Nashik.,Un-Aided,Savitribai Phule Pune University
5396,College Of Engineering And Technology North Maharashtra Knowledge City Jalgaon,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5399,Sanghavi College Of Engineering Varvandi Nashik.,Un-Aided,Savitribai Phule Pune University
5401,Jawahar Education Society S Institute Of Technology Management Research Nashik.,Un-Aided,Savitribai Phule Pune University
5408,Vidya Niketan College Of Engineering Bota Sangamner,Un-Aided,Savitribai Phule Pune University
5409,Rajiv Gandhi College Of Engineering At Post Karjule Hariya Tal.Parner Dist.Ahmednagar,Un-Aided,Savitribai Phule Pune University
5411,Maulana Mukhtar Ahmad Nadvi Technical Campus Malegaon.,Un-Aided Religious Minority - Muslim,Savitribai Phule Pune University
5418,Guru Gobind Singh College Of Engineering Research Centre Nashik.,Un-Aided,Savitribai Phule Pune University
5433,R.C. Patel College Of Engineering And Polytechnic Shirpur,Un-Aided Linguistic Minority - Gujarathi,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5449,Shri Vile Parle Kelavani Mandal S Institute Of Technology Dhule,Un-Aided Linguistic Minority - Gujarathi,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
